memberId,xSpawn,ySpawn,gender,xWidth,yLength
0,0,0,m,13,9
1,13,0,m,13,9
2,26,0,m,13,9
3,39,0,m,13,9
4,52,0,m,13,9
5,65,0,m,13,9
6,78,0,m,13,9
7,91,0,m,13,9
8,104,0,m,13,9
9,117,0,m,13,9
10,130,0,m,13,9
11,0,9,m,13,9
12,13,9,m,13,9
13,26,9,m,13,9
14,39,9,m,13,9
15,52,9,m,13,9
16,65,9,m,13,9
17,78,9,m,13,9
18,91,9,m,13,9
19,104,9,m,13,9
20,117,9,m,13,9
21,130,9,m,13,9
22,0,18,m,13,9
23,13,18,m,13,9
24,26,18,m,13,9
25,39,18,m,13,9
26,52,18,m,13,9
27,65,18,m,13,9
28,78,18,m,13,9
29,91,18,m,13,9
30,104,18,m,13,9
31,117,18,m,13,9
32,130,18,m,13,9
33,0,27,m,13,9
34,13,27,m,13,9
35,26,27,m,13,9
36,39,27,m,13,9
37,52,27,m,13,9
38,65,27,m,13,9
39,78,27,m,13,9
40,91,27,m,13,9
41,104,27,m,13,9
42,117,27,m,13,9
43,130,27,m,13,9
44,0,36,m,13,9
45,13,36,m,13,9
46,26,36,m,13,9
47,39,36,m,13,9
48,52,36,m,13,9
49,65,36,m,13,9
50,78,36,m,13,9
51,91,36,m,13,9
52,104,36,m,13,9
53,117,36,m,13,9
54,130,36,m,13,9
55,0,45,m,13,9
56,13,45,m,13,9
57,26,45,m,13,9
58,39,45,m,13,9
59,52,45,m,13,9
60,65,45,m,13,9
61,78,45,m,13,9
62,91,45,m,13,9
63,104,45,m,13,9
64,117,45,m,13,9
65,130,45,m,13,9
66,0,54,m,13,9
67,13,54,m,13,9
68,26,54,m,13,9
69,39,54,m,13,9
70,52,54,m,13,9
71,65,54,m,13,9
72,78,54,m,13,9
73,91,54,m,13,9
74,104,54,m,13,9
75,117,54,m,13,9
76,130,54,m,13,9
77,0,63,m,13,9
78,13,63,m,13,9
79,26,63,m,13,9
80,39,63,m,13,9
81,52,63,m,13,9
82,65,63,m,13,9
83,78,63,m,13,9
84,91,63,m,13,9
85,104,63,m,13,9
86,117,63,m,13,9
87,130,63,m,13,9
88,0,72,m,13,9
89,13,72,m,13,9
90,26,72,m,13,9
91,39,72,m,13,9
92,52,72,m,13,9
93,65,72,m,13,9
94,78,72,m,13,9
95,91,72,m,13,9
96,104,72,m,13,9
97,117,72,m,13,9
98,130,72,m,13,9